ROW_ID,Sectors,G_ID,111 Crop Farming,112 Livestock,113 Forestry & Logging,114 Fishing0 Hunting & Trapping,115 Ag & Forestry Svcs,211 Oil & gas extraction,212 Mining,213 Mining services,221 Utilities,230 Construction,311 Food products,312 Beverage & Tobacco,313 Textile Mills,314 Textile Products,315 Apparel,316 Leather & Allied,321 Wood Products,322 Paper Manufacturing,323 Printing & Related,324 Petroleum & coal prod,325 Chemical Manufacturing,326 Plastics & rubber prod,327 Nonmetal mineral prod,331 Primary metal mfg,332 Fabricated metal prod,333 Machinery Mfg,334 Computer & oth electron,335 Electircal eqpt & appliances,336 Transportation eqpmt,337 Furniture & related prod,339 Miscellaneous mfg,42  Wholesale Trade,441 Motor veh & parts dealers,442 Furniture & home furnishings,443 Electronics & appliances stores,444 Bldg materials & garden dealers,445 food & beverage stores,446 Health & personal care stores,447 Gasoline stations,448 Clothing & accessories stores,451 Sports0 hobby0 book & music stores,452 General merch stores,453 Misc retailers,454 Non0store retailers,481 Air transportation,482 Rail Transportation,483 Water transportation,484 Truck transportation,485 Transit & ground passengers,486 Pipeline transportation,487 Sightseeing transportation,49A Postal service couriers & messengers,493 Warehousing & storage,511 Publishing industries,512 Motion picture & sound recording,515 Broadcasting,517 Telecommunications,518 Internet & data process svcs,519 Other information services,521 Monetary authorities,522 Credit intermediation & related,523 Securities & other financial,524 Insurance carriers & related,525 Funds0 trusts & other finan,531 Real estate,532 Rental & leasing svcs,533 Lessor of nonfinance intang assets,541 Professional0 scientific & tech svcs,551 Management of companies,561 Admin support svcs,562 Waste mgmt & remediation svcs,611 Educational svcs,621 Ambulatory health care,622 Hospitals,623 Nursing & residential care,624 Social assistance,711 Performing arts & spectator sports,712 Museums & similar,713 Amusement0 gambling & recreation,721 Accommodations,722 Food svcs & drinking places,811 Repair & maintenance,812 Personal & laundry svcs,813 Religious0 grantmaking0 & similar orgs,814 Private households,92 Government,Households LT10k,Households 10015k,Households 15025k,Households 25035k,Households 35050k,Households 50075k,Households 750100k,Households 1000150k,Households 150k+,Federal Government NonDefense,Federal Government Defense,Federal Government Investment,State/Local Govt NonEducation,State/Local Govt Education,State/Local Govt Investment,Capital,Inventory Additions/Deletions,Foreign Trade,Domestic Trade
10006,Households 50075k,,0.77,0.72,0.01,0,0.28,0.41,0.02,0.12,0.95,7.97,6.29,3.37,0.05,0.12,0.35,0,0.28,3.97,0.71,4.49,7.71,1.23,0.86,17.3,2.42,2.13,19.77,1.01,4.68,0.37,2.39,12.78,0.15,0.25,0.17,0.52,1.33,0.5,0.17,0.7,0.17,1.17,0.3,1.15,40.99,0.33,5.58,2.04,0.04,0.03,1.6,3.42,0.23,2.28,2.53,3.4,45.51,1.57,103.8,1.97,1.43,14.04,2.84,0.47,10.47,1.07,1.57,16.28,8.63,5.01,0.35,1.76,0.04,0,0.39,0,1.09,0.04,1.74,2.15,4.9,0.89,4.43,0.02,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,Households 750100k,,1.21,1.13,0.02,0,0.44,0.65,0.03,0.19,1.49,12.48,9.85,5.28,0.08,0.19,0.55,0,0.43,6.22,1.12,7.04,12.07,1.93,1.35,27.09,3.78,3.33,30.95,1.59,7.33,0.58,3.75,20.01,0.23,0.4,0.27,0.81,2.08,0.78,0.27,1.1,0.27,1.83,0.47,1.8,64.18,0.52,8.74,3.2,0.07,0.05,2.5,5.35,0.36,3.57,3.96,5.33,71.26,2.46,162.51,3.09,2.23,21.99,4.45,0.74,16.39,1.68,2.45,25.49,13.51,7.85,0.54,2.76,0.06,0,0.61,0,1.71,0.06,2.73,3.36,7.68,1.4,6.94,0.03,0,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,Households 1000150k,,0.93,0.87,0.02,0,0.34,0.5,0.02,0.14,1.15,9.62,7.6,4.07,0.06,0.15,0.42,0,0.33,4.79,0.86,5.42,9.3,1.49,1.04,20.88,2.92,2.57,23.86,1.22,5.65,0.45,2.89,15.42,0.18,0.31,0.21,0.62,1.61,0.6,0.21,0.85,0.2,1.41,0.36,1.39,49.48,0.4,6.74,2.46,0.05,0.04,1.93,4.13,0.28,2.75,3.05,4.11,54.93,1.9,125.27,2.38,1.72,16.95,3.43,0.57,12.63,1.3,1.89,19.65,10.41,6.05,0.42,2.13,0.05,0,0.47,0,1.32,0.05,2.11,2.59,5.92,1.08,5.35,0.02,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,Households 150k+,,2.15,2.01,0.04,0,0.78,1.15,0.05,0.33,2.65,22.19,17.53,9.4,0.15,0.34,0.98,0,0.77,11.06,1.99,12.52,21.47,3.43,2.41,48.19,6.73,5.92,55.06,2.83,13.05,1.04,6.67,35.59,0.41,0.71,0.48,1.44,3.7,1.39,0.48,1.96,0.47,3.25,0.83,3.2,114.18,0.93,15.55,5.69,0.12,0.09,4.45,9.52,0.64,6.36,7.05,9.48,126.76,4.37,289.09,5.49,3.97,39.11,7.91,1.31,29.15,2.99,4.36,45.35,24.03,13.96,0.96,4.9,0.11,0,1.09,0,3.04,0.11,4.86,5.98,13.66,2.49,12.35,0.05,0,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,Federal Government NonDefense,,11.69,5.14,0.99,0,1.06,0.04,0.03,0.01,2.5,2.96,77.81,10.94,0.95,0.01,0.17,0.06,4.69,1.65,0.14,0.49,3.2,1.87,0.14,1.68,0.27,0.22,2.03,0.11,0.49,0.07,0.79,1.45,0.14,0.04,0.03,0.09,0.45,0.09,0.03,0.12,0.03,0.15,0.05,0.2,3.92,0.03,0.54,0.2,0.02,0,0.17,0.33,0.06,0.23,0.25,0.34,4.4,0.17,9.93,0.19,0.14,1.35,0.28,0.05,2.29,0.11,0.15,1.92,0.91,1.28,0.04,0.68,0.04,0.48,0.33,0.42,0.17,0.01,0.33,0.43,5.99,0.1,0.45,0.06,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11003,Federal Government Investment,,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.07,0,0,0.01,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12001,State/Local Govt NonEducation,,48.9,11.73,0.43,0.11,6.1,2.63,1.75,0.75,41.29,95.85,126.05,31,2.09,1.06,4.32,0.36,4.78,11.8,9.63,12.17,82.61,11.82,13.5,10.69,23.15,12.14,86.5,6.07,22.7,6.14,15.63,149.14,14.15,11.78,7.91,23.91,45.5,22.99,7.97,32.55,7.85,9.98,13.81,53.08,21.51,1.63,76.6,19.05,71.87,0.74,48.77,5.19,17.86,11.32,18.04,15.23,51.73,22.05,72.41,5.99,6.8,30.09,19.93,0.38,536.35,4.75,62.12,205.77,44.48,96.93,289.4,104.59,113.4,120.69,26.76,27.28,89.32,4.85,31.15,43.01,107.24,14.35,21.97,84.07,0,161.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14001,Capital,,3.11,2.92,0.06,0,1.13,1.66,0.07,0.48,3.84,32.16,25.4,13.62,0.22,0.49,1.42,0,1.11,16.03,2.88,18.14,31.11,4.97,3.49,69.83,9.75,8.58,79.77,4.09,18.91,1.5,9.66,51.57,0.59,1.03,0.69,2.09,5.37,2.01,0.7,2.84,0.69,4.7,1.21,4.63,165.43,1.34,22.54,8.24,0.18,0.13,6.45,13.79,0.93,9.21,10.21,13.73,183.66,6.34,418.86,7.95,5.75,56.67,11.47,1.9,42.24,4.33,6.32,65.7,34.81,20.22,1.39,7.11,0.16,0,1.58,0,4.41,0.15,7.04,8.66,19.79,3.61,17.9,0.07,0,29.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14002,Inventory Additions/Deletions,,20.46,12.37,1.27,0.04,2.7,1,4.09,1.26,20.97,194.33,67.47,15.14,0.96,0.77,1.11,0.17,8.09,5.69,3.63,41.92,57.77,10.6,8.63,15.22,34.39,20.67,55.94,12.93,26.7,4.91,10.67,16.03,1.21,0.36,0.24,0.73,1.84,0.7,0.24,1,0.24,0.83,0.42,1.63,68.37,10.43,12.88,82.2,29.38,0.53,5.61,17.29,1.4,1.39,0.54,1.2,5.67,1.52,1.91,0.73,1.48,0.35,0.18,0.01,24.77,3.47,0.23,10.43,4.4,12.14,3.77,2.3,6.97,8.25,2.73,3.11,0.7,0.17,2.66,3.6,19,4.2,2.44,1.88,0,19.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25001,Foreign Trade,,1418.38,523.53,20.1,0.73,442.55,396.67,150.94,82.07,3155.11,11794.6,6209.55,2308.27,300.88,289.12,1058.45,80.08,516.02,914.11,527.75,16430.79,7511.83,1867.08,698.94,1864.02,3972.77,3755.49,20732.53,1746.64,10436.69,857.02,2464.85,2430.67,153.21,66.99,44.93,135.82,270.03,130.8,45.31,185.99,44.65,371.83,78.6,301.92,1858.34,182.99,351.72,1229.87,419.51,60.86,367.55,443.35,139.33,473.79,531.86,515.12,4297.96,498.13,4242.46,169.92,455.21,1098.99,2624.55,43.08,3809.33,303.52,267.37,4520.69,948.22,1779.91,514.01,472,2870.31,1770.53,325.25,555.95,237.56,24.67,358.15,378.71,2627.66,1621.64,518.36,219.83,0,1891.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28001,Domestic Trade,,2412.29,2146.33,41.06,1,754.85,964.73,556.56,296.33,14706,19358.16,21632.7,6087.29,497.89,438.61,729.28,93.89,1054.08,2678.74,1230.26,12640.18,12942.75,3435.32,2091.1,2242.47,5865.43,5784.97,18786.31,2289.4,17357.89,1514.53,3214.44,4554.7,339.9,167.2,112.26,339.39,828.68,326.46,113.21,462.63,111.43,468.59,196.15,753.55,576.65,242.6,298.25,2088.24,720.25,60.88,1007.16,679.36,450.83,1029.4,726.67,935.5,3583.35,970.58,2038.79,875.12,1286.37,2109.79,7431.42,557.1,13821.7,589.79,1113.18,7919.81,1337.71,3318.98,863.18,1491.33,4749.71,3698.6,836.6,1316.45,655.39,70.08,670.11,985.47,8482.39,2717.81,785.87,441.42,0,3086.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
